"BORE_HOLE_ID","WELL_ID","DP2BR","CODEOB","OPEN_HOLE","DATE_COMPLETED","Remarks","ZONE","EAST83","NORTH83","UTMRC","LOCATION_METHOD","ORGCS","ELEVATION","ELEVRC","LOCATION_SOURCE_DATE","SOURCE_REVISION_COMMENT","IMPROVEMENT_LOCATION_SOURCE","IMPROVEMENT_LOCATION_METHOD","SUPPLIER_COMMENT","SPATIAL_STATUS","CLUSTER_KIND"
10052391,"1530857",,,,9/29/1999 0:00:00,"",18,443133.7,5012082,"9","lot",,,"",,,,,,,
10052392,"1530858",,,,11/3/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052393,"1530859",,,,8/13/1999 0:00:00,"",18,452746.8,4998722,"9","lot",,,"",,,,,,,
10052394,"1530860",,,,10/12/1999 0:00:00,"",18,471708.8,5033853,"9","lot",,,"",,,,,,,
10052395,"1530861",,,,10/4/1999 0:00:00,"",18,464421.8,5029676,"9","lot",,,"",,,,,,,
10052396,"1530862",,,,11/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052397,"1530863",,,,11/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052398,"1530864",,,,11/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052399,"1530865",,,,11/5/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052400,"1530866",,,,11/5/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052401,"1530867",,,,11/5/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052402,"1530868",,,,11/5/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052403,"1530869",,,,11/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052404,"1530870",,,,11/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052405,"1530871",,,,9/13/1998 0:00:00,"",18,462417.8,5013430,"9","lot",,,"",,,,,,,
10052406,"1530872",,,,9/13/1998 0:00:00,"",18,462417.8,5013430,"9","lot",,,"",,,,,,,
10052407,"1530873",,,,11/27/1998 0:00:00,"",18,448992.7,5007790,"9","lot",,,"",,,,,,,
10052408,"1530874",,,,10/20/1999 0:00:00,"",18,466122.8,5003422,"9","lot",,,"",,,,,,,
10052409,"1530875",,,,11/10/1999 0:00:00,"",18,463397.8,5010739,"9","lot",,,"",,,,,,,
10052410,"1530876",,,,10/26/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052411,"1530877",,,,10/26/1999 0:00:00,"",18,469538.8,5035680,"9","lot",,,"",,,,,,,
10052412,"1530878",,,,2/26/1999 0:00:00,"",18,456780.8,5011082,"9","lot",,,"",,,,,,,
10052413,"1530879",,,,4/27/1999 0:00:00,"",18,454672.7,5005554,"9","lot",,,"",,,,,,,
10052414,"1530880",,,,9/20/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052415,"1530881",,,,8/6/1999 0:00:00,"",18,477228.9,5030778,"9","lot",,,"",,,,,,,
10052416,"1530882",,,,10/19/1999 0:00:00,"",18,407678.5,5027364,"9","lot",,,"",,,,,,,
10052417,"1530883",,,,10/18/1999 0:00:00,"",18,407678.5,5027364,"9","lot",,,"",,,,,,,
10052418,"1530884",,,,10/3/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052419,"1530885",,,,10/28/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052420,"1530886",,,,10/13/1999 0:00:00,"",18,427942.7,5009592,"9","lot",,,"",,,,,,,
10052421,"1530887",,,,9/1/1999 0:00:00,"",18,427942.7,5009592,"9","lot",,,"",,,,,,,
10052422,"1530888",,,,9/3/1999 0:00:00,"",18,432853.7,5004676,"9","lot",,,"",,,,,,,
10052423,"1530889",,,,11/1/1999 0:00:00,"",18,435127.6,5004859,"9","lot",,,"",,,,,,,
10052424,"1530890",,,,10/30/1999 0:00:00,"",18,429339.7,5010783,"9","lot",,,"",,,,,,,
10052425,"1530891",,,,10/8/1999 0:00:00,"",18,435085.7,5002821,"9","lot",,,"",,,,,,,
10052426,"1530892",,,,11/24/1999 0:00:00,"",18,433300.7,5003254,"9","lot",,,"",,,,,,,
10052427,"1530893",,,,11/24/1999 0:00:00,"",18,427942.7,5009592,"9","lot",,,"",,,,,,,
10052428,"1530894",,,,11/2/1999 0:00:00,"",18,434234.7,5005890,"9","lot",,,"",,,,,,,
10052429,"1530895",,,,10/20/1999 0:00:00,"",18,429187.7,5001430,"9","lot",,,"",,,,,,,
10052430,"1530896",,,,10/29/1999 0:00:00,"",,,,"9","na",,,"",,,,,,,
10052431,"1530897",,,,10/26/1999 0:00:00,"",18,420458.5,5016712,"9","lot",,,"",,,,,,,
10052432,"1530898",,,,10/26/1999 0:00:00,"",18,423733.6,5025294,"9","lot",,,"",,,,,,,
10052433,"1530899",,,,10/26/1999 0:00:00,"",18,423941.6,5023022,"9","lot",,,"",,,,,,,
10052434,"1530900",,,,11/8/1999 0:00:00,"",18,453998.8,5012705,"9","lot",,,"",,,,,,,
10052435,"1530901",,,,11/9/1999 0:00:00,"",18,453998.8,5012705,"9","lot",,,"",,,,,,,
10052436,"1530902",,,,11/2/1999 0:00:00,"",18,455078.8,5010066,"9","lot",,,"",,,,,,,
10052437,"1530903",,,,11/4/1999 0:00:00,"",18,456020.8,5012988,"9","lot",,,"",,,,,,,
10052438,"1530904",,,,11/11/1999 0:00:00,"",18,457081.8,5010312,"9","lot",,,"",,,,,,,
10052439,"1530905",,,,11/4/1999 0:00:00,"",18,452746.8,4998722,"9","lot",,,"",,,,,,,
10052440,"1530906",,,,11/11/1999 0:00:00,"",18,453837.8,5013082,"9","lot",,,"",,,,,,,
10052441,"1530907",,,,11/10/1999 0:00:00,"",18,448594.8,5008488,"9","lot",,,"",,,,,,,
10052442,"1530908",,,,10/25/1999 0:00:00,"",18,459739.8,5014694,"9","lot",,,"",,,,,,,
10052443,"1530909",,,,10/1/1999 0:00:00,"",18,450970.7,5003747,"9","lot",,,"",,,,,,,
10052444,"1530910",,,,10/20/1999 0:00:00,"",18,450649.8,5009655,"9","lot",,,"",,,,,,,
10052445,"1530911",,,,10/4/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052446,"1530912",,,,10/4/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052447,"1530913",,,,10/4/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052448,"1530914",,,,10/19/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052449,"1530915",,,,10/15/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052450,"1530916",,,,10/18/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052451,"1530917",,,,10/14/1999 0:00:00,"",18,419275.5,5013994,"9","lot",,,"",,,,,,,
10052452,"1530918",,,,11/11/1999 0:00:00,"",18,465201.8,5035428,"9","lot",,,"",,,,,,,
10052453,"1530919",,,,11/9/1999 0:00:00,"",18,464093.8,5008802,"9","lot",,,"",,,,,,,
10052454,"1530920",,,,11/3/1999 0:00:00,"",18,434234.7,5005890,"9","lot",,,"",,,,,,,
10052455,"1530921",,,,11/9/1999 0:00:00,"",18,431896.7,5002000,"9","lot",,,"",,,,,,,
10052456,"1530922",,,,9/21/1999 0:00:00,"",18,433760.6,5003654,"9","lot",,,"",,,,,,,
10052457,"1530923",,,,9/20/1999 0:00:00,"",18,434234.7,5005890,"9","lot",,,"",,,,,,,
10052458,"1530924",,,,9/13/1999 0:00:00,"",18,434212.6,5004060,"9","lot",,,"",,,,,,,
10052459,"1530925",,,,9/8/1999 0:00:00,"",18,434234.7,5005890,"9","lot",,,"",,,,,,,
10052460,"1530926",,,,10/29/1999 0:00:00,"",18,444536.7,5004772,"9","lot",,,"",,,,,,,
10052461,"1530927",,,,10/19/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052462,"1530928",,,,9/15/1999 0:00:00,"",18,444153.8,4998796,"9","lot",,,"",,,,,,,
10052463,"1530929",,,,9/28/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052464,"1530930",,,,9/20/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052465,"1530931",,,,9/29/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052466,"1530932",,,,9/17/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052467,"1530933",,,,11/19/1999 0:00:00,"",18,418346.5,5010802,"9","lot",,,"",,,,,,,
10052468,"1530934",,,,10/9/1999 0:00:00,"",18,425905.6,5016628,"9","lot",,,"",,,,,,,
10052469,"1530935",,,,11/17/1999 0:00:00,"",18,422532.6,5022602,"9","lot",,,"",,,,,,,
10052470,"1530936",,,,11/10/1999 0:00:00,"",18,422532.6,5022602,"9","lot",,,"",,,,,,,
10052471,"1530937",,,,11/11/1999 0:00:00,"",18,422532.6,5022602,"9","lot",,,"",,,,,,,
10052472,"1530938",,,,11/15/1999 0:00:00,"",18,425801.6,5023036,"9","lot",,,"",,,,,,,
10052473,"1530939",,,,9/10/1999 0:00:00,"",18,422532.6,5022602,"9","lot",,,"",,,,,,,
10052474,"1530940",,,,9/10/1999 0:00:00,"",18,424993.6,5023944,"9","lot",,,"",,,,,,,
10052475,"1530941",,,,11/18/1999 0:00:00,"",18,425395.6,5023492,"9","lot",,,"",,,,,,,
10052476,"1530942",,,,11/11/1999 0:00:00,"",18,425613.6,5029452,"9","lot",,,"",,,,,,,
10052477,"1530943",,,,9/13/1999 0:00:00,"",18,437755.7,5008649,"9","lot",,,"",,,,,,,
10052478,"1530944",,,,11/24/1999 0:00:00,"",18,435721.7,5013702,"9","lot",,,"",,,,,,,
10052479,"1530945",,,,10/12/1999 0:00:00,"",18,444509.7,5019453,"9","lot",,,"",,,,,,,
10052480,"1530946",,,,10/16/1999 0:00:00,"",18,436977.8,5010584,"9","lot",,,"",,,,,,,
10052481,"1530947",,,,10/21/1999 0:00:00,"",18,463950.9,5009184,"9","lot",,,"",,,,,,,
10052482,"1530948",,,,10/27/1999 0:00:00,"",18,453157.8,5009336,"9","lot",,,"",,,,,,,
10052483,"1530949",,,,10/27/1999 0:00:00,"",18,453157.8,5009336,"9","lot",,,"",,,,,,,
10052484,"1530950",,,,10/25/1999 0:00:00,"",18,453157.8,5009336,"9","lot",,,"",,,,,,,
10052485,"1530951",,,,10/26/1999 0:00:00,"",18,453157.8,5009336,"9","lot",,,"",,,,,,,
10052486,"1530952",,,,10/22/1999 0:00:00,"",18,454151.8,5012332,"9","lot",,,"",,,,,,,
10052487,"1530953",,,,10/4/1999 0:00:00,"",18,452358.8,5011235,"9","lot",,,"",,,,,,,
