"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"OTTAWA CITY   ","18 439461 5024642 W","1950-11 4216","5    5    ","FR 0093 ","31/33/7/0:30","DO ","","1507806 () ","CLAY 0005 LMSN 0093 "
"OTTAWA CITY   ","18 439331 5024797 W","1951-01 4216","4    4    ","FR 0060 FR 0092 ","15/19/7/0:20","DO ","","1507805 () ","CLAY 0006 LMSN 0092 "
"OTTAWA CITY   ","18 447536 5025772 W","1950-05 5448","5    5    ","FR 0010 ","10/20/400/0:30","DO ","","1507785 () ","SHLE 0011 ROCK 0049 "
"OTTAWA CITY   ","18 451711 5026742 W","1956-06 4825","4    4    ","FR 0075 ","6/15/5/1:0","DO ","","1507812 () ","MSND CLAY 0016 LMSN 0100 "
"OTTAWA CITY   ","18 439941 5024262 W","1953-05 4833","5    5    ","FR 0110 ","17/30/5/0:15","DO ","","1507760 () ","LOAM 0003 LMSN 0116 "
"OTTAWA CITY   ","18 447651 5025782 W","1950-08 5448","5    5    ","FR 0064 ","8/23/400/0:30","DO ","","1507787 () ","SHLE 0008 ROCK 0064 "
"OTTAWA CITY   ","18 449461 5024182 W","1954-11 1107","4    4    ","SU 0138 ","3/6/8/1:0","CO ","","1507767 () ","GREY CLAY 0004 BLUE CLAY 0033 FSND 0044 BLCK SHLE 0105 GREY SHLE 0130 GREY LMSN 0138 "
"OTTAWA CITY   ","18 449391 5023222 W","1954-11 1802","3    3    ","SU 0083 ","/20/6/2:0","DO ","","1507766 () ","CLAY 0050 MSND 0083 "
"OTTAWA CITY   ","18 437131 5023222 W","1952-03 4825","4    4    ","FR 0065 ","1/35/8/0:15","DO ","","1507765 () ","GREY MSND 0004 LMSN 0070 "
"OTTAWA CITY   ","18 437241 5023382 W","1952-02 3718","4    4    ","FR 0035 FR 0042 FR 0067 FR 0095 ","10/15/4/1:30","DO ","","1507764 () ","BRWN LOAM 0008 GREY LMSN 0097 "
"OTTAWA CITY   ","18 437171 5023182 W","1956-12 3718","4    4    ","FR 0040 ","5/7/5/0:30","DO ","","1507763 () ","LOAM 0006 QSND 0008 LMSN 0040 "
"OTTAWA CITY   ","18 449151 5023762 W","1957-06 4833","4    4    ","FR 0039 ","10/10/7/0:30","IN CO ","","1507769 () ","CLAY 0030 LMSN 0041 "
"OTTAWA CITY   ","18 439911 5024312 W","1953-06 4833","5    5    ","FR 0125 ","8/30/5/0:20","DO ","","1507761 () ","LOAM 0003 LMSN 0130 "
"OTTAWA CITY   ","18 449171 5023722 W","1958-06 4833","4    4    ","FR 0096 ","//7/0:30","PS ","","1507770 () ","PRDR 0058 GREY LMSN 0098 "
"OTTAWA CITY   ","18 439891 5024382 W","1953-05 4833","5    5    ","FR 0125 ","8/35/5/0:15","DO ","","1507759 () ","LOAM 0004 LMSN 0131 "
"OTTAWA CITY   ","18 439991 5024122 W","1953-05 4833","5    5    ","FR 0120 ","12/25/5/0:15","DO ","","1507758 () ","LOAM 0006 LMSN 0123 "
"OTTAWA CITY   ","18 439981 5024142 W","1953-04 4833","5    5    ","FR 0108 ","10/20/5/0:15","DO ","","1507757 () ","LOAM 0003 LMSN 0117 "
"OTTAWA CITY   ","18 439871 5024422 W","1953-03 4833","5    5    ","FR 0075 ","6/12/5/0:15","DO ","","1507756 () ","LOAM 0003 LMSN 0080 "
"OTTAWA CITY   ","18 439856 5024462 W","1953-03 4832","5    5    ","FR 0050 FR 0085 FR 0118 ","14/15/3/0:30","DO ","","1507755 () ","MSND LOAM 0003 CLAY MSND STNS 0016 GREY LMSN 0121 "
"OTTAWA CITY   ","18 452561 5028372 W","1972-05 1836","6    ","FR 0085 FR 0157 ","40/200/2/3:0","IN ","","1511776 () ","FILL 0002 CLAY 0021 HPAN 0031 GREY SHLE 0200 "
"OTTAWA CITY   ","18 439911 5024322 W","1953-06 4833","5    5    ","FR 0125 ","10/35/5/0:15","DO ","","1507762 () ","LOAM 0004 LMSN 0130 "
"OTTAWA CITY   ","18 445881 5032352 W","1951-04 3725","5    ","MN 0030 ","30/30//:","DO ","","1507777 () ","LOAM 0008 ROCK 0080 "
"OTTAWA CITY   ","18 451616 5026872 W","1955-04 1802","3    3    ","FR 0046 ","4/20/12/1:0","DO ","","1507821 () ","FILL 0005 CLAY 0020 HPAN 0025 SHLE 0046 "
"OTTAWA CITY   ","18 438261 5023162 W","1950-05 3566","4    4    ","FR 0090 FR 0100 FR 0110 ","37/48/7/1:0","DO ","","1507784 () ","CLAY 0030 FILL 0045 MSND 0052 LMSN 0110 "
"OTTAWA CITY   ","18 447871 5025802 W","1950-04 5448","5    5    ","MN 0066 ","5/10/400/0:30","DO ","","1507783 () ","SHLE 0008 LMSN 0066 "
"OTTAWA CITY   ","18 438261 5023162 W","1950-04 5448","5    5    ","FR 0083 ","11/40/300/0:30","DO ","","1507782 () ","SHLE 0013 BLCK LMSN 0083 "
"OTTAWA CITY   ","18 438261 5023162 W","1950-03 5448","5    5    ","FR 0075 ","11/41/300/0:30","DO ","","1507781 () ","SHLE 0012 BLCK LMSN 0075 "
"OTTAWA CITY   ","18 439271 5024702 W","1950-07 3718","4    4    ","FR 0100 ","25/38/5/2:30","DO ","","1507780 () ","BLUE CLAY 0010 BLUE SHLE ROCK 0100 "
"OTTAWA CITY   ","18 449511 5022662 W","1954-11 1802","3    3    ","FR 0083 ","","DO ","","1507768 () ","CLAY 0080 LMSN 0083 "
"OTTAWA CITY   ","18 439241 5024782 W","1952-03 3601","4    4    ","FR 0080 ","20/26/6/0:20","DO ","","1507778 () ","SHLE LOAM 0004 SHLE 0100 "
"OTTAWA CITY   ","18 447651 5025782 W","1950-07 5448","5    ","MN 0060 ","8/28/400/0:30","DO ","","1507786 () ","SHLE 0010 ROCK 0060 "
"OTTAWA CITY   ","18 449296 5024137 W","1963-07 1802","6    6    ","FR 0140 ","5/100/0/2:0","DO ","","1507776 () ","BLUE CLAY 0035 BLCK SHLE 0290 "
"OTTAWA CITY   ","18 449111 5023722 W","1958-09 3113","4    4    ","FR 0100 ","2/2/14/1:0","CO ","","1507775 () ","HPAN GRVL 0022 BLUE CLAY 0028 MSND 0036 BLCK SHLE 0100 "
"OTTAWA CITY   ","18 449431 5022562 W","1958-04 1603","3    4    ","FR 0090 ","2/20/17/2:0","DO ","","1507774 () ","CLAY 0045 MSND 0084 LMSN 0094 "
"OTTAWA CITY   ","18 449311 5022542 W","1957-09 3718","4    ","FR 0065 ","10/20/5/1:0","DO ","","1507773 () ","CLAY 0020 HPAN 0040 CLAY 0065 GRVL 0080 "
"OTTAWA CITY   ","18 449126 5023682 W","1957-08 1632","5    5    ","FR 0095 ","1/10/8/2:0","DO ","","1507772 () ","MSND 0055 BLDR MSND 0060 GREY LMSN 0095 "
"OTTAWA CITY   ","18 449091 5023972 W","1953-10 1107","4    4    ","FR 0112 ","4/6/15/1:0","CO ","","1507771 () ","CLAY MSND 0010 CLAY GRVL 0034 LMSN 0112 "
"OTTAWA CITY   ","18 439231 5024672 W","1951-02 3718","5    5    ","FR 0080 FR 0090 ","27/27/4/1:0","DO ","","1507779 () ","BRWN LOAM 0002 SHLE 0010 LMSN 0092 "
"OTTAWA CITY   ","18 442571 5023732 W","1952-07 4216","5    5    ","FR 0127 FR 0152 ","42/56/8/0:20","DO ","","1507862 () ","CLAY 0004 LMSN 0152 "
"OTTAWA CITY   ","18 441521 5022982 W","1950-08 3728","3    3    ","FR 0050 ","8/12/7/0:15","DO ","","1507855 () ","LOAM 0002 BLUE CLAY 0008 GREY LMSN 0050 "
"OTTAWA CITY   ","18 438321 5021182 W","1954-10 3601","4    4    ","FR 0120 ","32/35/5/1:30","DO ","","1507869 () ","MSND 0024 LMSN 0122 "
"OTTAWA CITY   ","18 438296 5021172 W","1954-04 3114","5    5    ","FR 0075 FR 0100 ","32/32/5/1:0","DO ","","1507868 () ","GREY CLAY 0004 RED  MSND 0032 LMSN 0102 "
