"SCREEN_ID","WELL_ID","PIPE_ID","Layer","Slot","SCRN_TOP_DEPTH","SCRN_END_DEPTH","SCRN_MATERIAL","SCRN_DEPTH_UOM","SCRN_DIAMETER_UOM","SCRN_DIAMETER"
1006217843,"7268964",1006217835,,,,,,"m","cm",
1006218356,"7268973",1006218347,,,,,,"m","cm",
1006224202,"7269071",1006224196,,,,,,"m","cm",
1006224210,"7269072",1006224205,,,,,,"m","cm",
1006224219,"7269073",1006224213,,,,,,"m","cm",
1006224230,"7269074",1006224224,,,,,,"m","cm",
1006224241,"7269075",1006224235,,,,,,"m","cm",
1006224254,"7269076",1006224246,1,"10",3.05,6.10,"5","m","cm",6.03
1006224269,"7269077",1006224261,1,"10",3.05,6.10,"5","m","cm",6.03
1006224294,"7269079",1006224287,1,"10",1.06,3.20,"5","m","cm",4.21
1006224308,"7269080",1006224301,1,"10",0.75,3.75,"5","m","cm",4.21
1006227656,"7269113",1006227648,1,"10",12.65,14.17,"5","m","cm",6.03
1006227707,"7269114",1006227699,1,"10",12.57,14.09,"5","m","cm",6.03
1006227767,"7269115",1006227759,1,"10",19.28,20.80,"5","m","cm",6.03
1006227883,"7269116",1006227875,1,"10",13.72,15.24,"5","m","cm",6.03
1006227900,"7269117",1006227892,1,"10",4.57,7.62,"5","m","cm",6.03
1006227915,"7269118",1006227907,1,"10",12.34,13.86,"5","m","cm",6.03
1006227930,"7269119",1006227922,1,"10",12.50,14.02,"5","m","cm",6.03
1006227967,"7269120",1006227958,1,"10",12.50,14.02,"5","m","cm",6.03
1006228159,"7269131",1006228151,1,"10",3.96,5.49,"5","m","cm",4.82
1006230872,"7269181",1006230865,1,"10",3.10,6.10,"5","m","cm",4.82
1006230909,"7269182",1006230903,1,"10",2.13,5.18,"5","m","cm",4.82
